id,era,title,artist,year,description,image
1,Medieval,The Book of Kells,Unknown,800,"Illuminated manuscript containing the four Gospels of the New Testament, decorated with intricate and colorful illustrations.",https://upload.wikimedia.org/wikipedia/commons/b/b1/KellsFol032vChristEnthroned.jpg
2,Medieval,The Bayeux Tapestry,Unknown,1066-1082,"Embroidered cloth depicting the events leading up to the Norman conquest of England, including the Battle of Hastings.",https://upload.wikimedia.org/wikipedia/commons/9/9c/Odo_bayeux_tapestry.png
3,Medieval,Chartres Cathedral,Unknown,1194,"Gothic cathedral located in Chartres, France, renowned for its stained glass windows and architectural grandeur.",https://ai.stanford.edu/~latombe/mountain/photo/france/france-chartres_files/image002.jpg
4,Medieval,The Lindisfarne Gospels,Unknown,700,"Illuminated manuscript containing the Gospels of Matthew, Mark, Luke, and John, lavishly illustrated with intricate designs and patterns.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/LindisfarneFol27rIncipitMatt.jpg/1200px-LindisfarneFol27rIncipitMatt.jpg
5,Medieval,The Unicorn Tapestries,Unknown,late 15th century,"A series of woven tapestries depicting various scenes featuring unicorns, animals, and hunters, representing the medieval concept of chivalry and symbolism.",https://images.metmuseum.org/CRDImages/cl/original/DP118991.jpg
6,Medieval,The Book of Hours of Jeanne d'Evreux,Unknown,early 14th century,"Lavishly illuminated manuscript prayer book commissioned by Queen Jeanne d'Evreux, featuring exquisite miniatures and decorative motifs.",https://upload.wikimedia.org/wikipedia/commons/f/f1/4_Jean_Pucelle._Hours_of_Jeanne_d%27Evreux._1325-28%2C_Metropolitan_Museum%2C_New-York.jpg
7,Medieval,The Hours of Catherine of Cleves,Unknown,early 15th century,"Illuminated manuscript book of hours owned by Catherine of Cleves, featuring intricate illustrations and miniatures depicting religious scenes and daily activities.",https://www.themorgan.org/sites/default/files/images/collection/115-M917_180-M945_097r.jpg
8,Medieval,The Doors of Ghiberti,Lorenzo Ghiberti,1425 - 1452,"A pair of bronze doors for the Florence Baptistery, adorned with intricately sculpted biblical scenes and figures, showcasing the early Renaissance style.",https://www.wga.hu/art/g/ghiberti/paradiso/1porta.jpg
9,Medieval,The Westminster Retable,Unknown,late 13th century,"Painted altarpiece featuring scenes from the life of Christ, located in Westminster Abbey, London.",https://www.westminster-abbey.org/media/14235/retable-5-000-panel-group-hk-300-westminster-abbey-copyright.jpg?anchor=center&mode=crop&width=1024&height=512&rnd=132670108120000000
10,Medieval,The Stavelot Triptych,Unknown,12th century,"Portable triptych made of wood and metal, featuring engraved biblical scenes and figures, possibly used for private devotion.",https://upload.wikimedia.org/wikipedia/commons/5/5e/Stavelot.Triptych.jpg
11,Renaissance,Mona Lisa,Leonardo da Vinci,1503-1506,"A renowned portrait of Lisa Gherardini, known as Mona Lisa, featuring a captivating smile and meticulous details.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mona_Lisa.jpg/640px-Mona_Lisa.jpg
12,Renaissance,The Last Supper,Leonardo da Vinci,1495-1498,"A mural painting depicting the final meal of Jesus with his disciples, known for its composition and perspective.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/The_Last_Supper_-_Leonardo_Da_Vinci_-_High_Resolution_32x16.jpg/640px-The_Last_Supper_-_Leonardo_Da_Vinci_-_High_Resolution_32x16.jpg
13,Renaissance,The Birth of Venus,Sandro Botticelli,1484-1486,"A mythological painting depicting the birth of the goddess Venus, known for its graceful composition and ethereal beauty.",https://artincontext.org/wp-content/uploads/2021/09/The-Birth-of-Venus-Botticelli-848x530.jpg
14,Renaissance,The Creation of Adam,Michelangelo,1508-1512,"A fresco painting on the ceiling of the Sistine Chapel depicting the biblical creation of Adam, renowned for its iconic composition.",https://cdn.thecollector.com/wp-content/uploads/2022/03/michelangelo-creation-adam-detail-featured.jpg?width=1400&quality=70
